control unit ID ##,control unit name
01,Engine
,
03,Brakes
,
08,Air Conditioning
,
09,Central Electrics
,
15,Airbag
,
16,Steering Column
,
17,Dashboard
,
19,Gateway
,
25,Immobilizer
,
42,Driver Door
,
44,Steering Assistance
,
46,Comfort System
,
52,Passenger Door
,
62,Rear Left Door
,
65,Tire Pressure
,
72,Rear Right Door
